X1,X2,X3,X4,Y
15,26,17,10,2
7,13,10,11,2
10,14,10,12,2
8,25,9,10,2
9,15,11,6,2
11,25,10,8,2
14,27,12,6,3
6,12,8,8,1
10,11,8,10,2
7,18,10,4,2
11,17,10,20,2
11,17,15,6,2
8,19,9,11,2
10,21,8,6,2
10,22,8,8,3
9,14,12,9,2
10,18,12,12,2
8,16,4,4,2
3,6,4,4,1
11,29,11,12,2
10,16,8,4,2
14,28,19,9,3
9,18,7,5,2
11,26,8,4,2
11,19,12,12,3
11,28,9,14,2
12,23,11,6,2
10,25,12,7,2
10,18,10,11,2
7,17,8,8,2
7,19,5,8,2
9,12,6,4,2
8,18,4,4,1
11,13,11,8,2
11,24,5,5,2
6,12,10,8,2
7,21,7,8,2
11,19,13,9,2
9,24,11,9,2
10,17,13,8,2
9,18,4,4,2
6,14,8,6,1
3,8,4,6,1
8,18,9,8,2
10,21,12,8,2
10,22,8,6,2
6,14,7,20,1
3,13,4,4,3
13,17,15,13,3
14,26,17,9,3
10,18,4,8,1
9,20,7,10,2
8,18,12,11,2
9,15,7,6,2
8,17,5,4,2
7,12,8,11,2
7,14,6,11,2
9,20,10,4,2
13,21,14,11,2
6,15,16,9,3
9,15,10,5,1
11,26,4,6,1
9,15,9,8,2
10,20,10,6,2
12,20,15,8,2
10,17,7,7,2
13,23,16,20,2
15,30,15,10,3
9,20,8,5,2
15,30,16,8,3
10,16,9,8,2
10,22,15,4,3
6,13,9,8,2
6,6,4,4,2
11,22,14,14,3
11,21,8,8,2
7,12,9,8,2
8,18,10,7,2
10,12,9,4,2
8,20,10,6,2
13,18,15,7,2
12,27,11,7,3
10,19,13,12,2
14,24,16,17,3
9,20,10,8,2
10,13,13,9,3
10,25,10,11,2
13,19,14,12,2
11,21,14,5,3
10,25,16,15,3
10,18,8,4,2
10,22,11,11,2
9,16,9,9,2
15,21,11,10,2
9,22,4,8,2
8,21,8,8,2
12,21,13,12,2
9,26,13,10,2
5,22,8,4,2
12,29,10,12,2
9,19,10,6,2
10,24,8,8,1
11,23,16,9,3
7,16,9,9,2
10,20,11,13,2
12,26,15,10,2
12,19,8,11,2
9,19,12,4,3
10,20,11,7,2
8,21,12,8,2
12,20,17,12,3
11,16,10,4,2
15,29,11,12,3
9,18,12,12,2
9,16,9,4,2
12,19,13,6,2
9,21,12,8,2
9,18,15,8,2
13,27,15,10,3
11,24,13,7,2
8,18,8,5,2
7,10,6,9,1
8,20,10,5,2
12,23,9,4,2
10,24,12,9,2
14,25,16,11,3
8,17,7,8,2
9,20,13,12,3
7,16,7,10,2
9,15,11,9,2
4,20,5,7,2
4,20,6,13,2
4,12,8,4,1
12,21,15,15,3
6,15,8,4,1
10,16,10,6,2
10,17,10,5,2
11,21,8,8,2
9,14,8,8,2
9,13,11,9,2
12,24,15,15,3
10,21,10,11,2
9,15,5,4,2
9,23,12,13,2
9,18,13,18,2
14,13,20,4,2
8,19,8,9,1
9,20,4,4,1
9,26,17,14,3
6,13,7,4,1
10,21,11,13,2
8,6,4,6,2
10,22,8,6,2
6,23,11,8,2
9,19,8,9,1
14,19,15,13,3
10,16,10,8,2
11,22,12,11,2
7,15,8,8,2
12,20,11,8,2
9,13,11,10,2
7,18,5,4,2
5,20,8,8,2
5,11,4,9,1
